	elev	convex	slope	aspect	N	P	K	pH
1	54.89275	-1.74375	46.78939	114.01775	3.334376	0.2147654	3.694624	4.713993
2	57.992	-2.215	45.69906	263.08339	4.202102	0.2451958	4.373228	4.77312
3	54.50325	3.84075	44.46079	256.71699	3.833674	0.226052	4.289754	4.935478
4	47.896	4.326	39.24653	237.81106	3.079796	0.2017985	3.95893	5.087159
5	46.189	1.779	37.27584	110.11573	2.887753	0.1963663	3.644821	5.167524
6	51.843	4.287	35.67033	185.92226	3.678946	0.2422317	4.624101	4.815154
7	60.736	1.848	33.06503	201.07674	4.654444	0.2853413	5.090561	4.678613
8	73.48775	-2.68175	37.39011	184.01256	4.710466	0.2841518	5.814682	4.57159
9	89.082	-1.253	45.07064	150.5588	4.292108	0.23286	5.726786	4.682153
10	104.62625	-6.42925	45.64218	131.79889	3.798971	0.2010399	5.481689	4.765959
11	116.38575	-1.68575	42.62368	122.48938	3.232953	0.1929789	5.132699	4.599959
12	122.62575	2.06225	39.33636	99.11854	3.050695	0.1883907	4.651636	4.825771
13	123.88775	1.78125	41.37146	179.76741	2.946751	0.2007715	4.551206	5.091734
14	128.39425	1.32875	33.53033	157.16585	2.796017	0.2025215	4.615628	5.075911
15	135.7195	0.6375	23.12768	158.78088	2.787408	0.2189087	5.072189	4.969378
16	145.47925	-2.58625	40.5828	144.53658	2.777316	0.2293555	5.304275	4.946582
17	154.45025	-2.41025	29.9744	179.66997	2.490265	0.2131747	4.70214	5.118917
18	164.1965	2.4145	40.31063	203.94778	2.083769	0.1587637	3.804712	5.184095
19	177.92575	2.19825	33.43398	204.3187	1.762225	0.1288696	3.330006	5.196133
20	188.81375	0.03225	30.76756	168.02526	1.684568	0.1291059	3.678364	5.111234
21	33.1905	-1.1075	51.28462	106.23779	3.82252	0.2846606	3.936857	4.666953
22	36.6235	4.1321	48.21877	179.71606	4.180629	0.2936661	4.701744	4.696333
23	35.86675	2.10755263	42.36636	175.59017	3.401895	0.2254496	4.537955	5.03401
24	34.6995	-2.86494737	32.92537	175.87571	2.763922	0.1969102	4.040445	5.261254
25	36.8865	-5.73885526	22.06466	153.19076	2.575541	0.1751494	3.476163	5.404008
26	45.92625	-4.0025921	33.3992	168.35525	3.226501	0.2148751	4.377678	4.900335
27	57.83525	-1.96175	37.61729	136.47969	4.043538	0.2474189	5.213403	4.649036
28	68.00475	-3.22177632	37.75938	127.03075	4.253066	0.2570321	5.68848	4.848047
29	79.0485	-3.94242105	39.29461	141.44578	3.933928	0.238971	5.440202	4.870482
30	90.27925	-4.28860526	39.66588	125.71218	3.392143	0.2099845	5.362482	4.874699
31	100.86025	-4.57039474	44.01055	126.50366	2.914111	0.181405	5.688733	4.821245
32	110.26525	-5.86013158	31.17616	125.20316	2.707486	0.1625752	5.352435	4.889009
33	117.8595	-8.67830263	29.8614	193.29856	2.628504	0.1731227	4.979624	5.016178
34	130.80975	-4.86335526	48.07563	215.95427	2.65283	0.1862995	4.49594	4.992888
35	137.41475	-7.35480263	27.46834	205.26209	2.778418	0.1907243	4.622172	4.996512
36	142.11475	-11.94153947	36.0866	192.72386	2.96296	0.2320561	4.717983	4.892908
37	154.639	-7.30802632	29.04003	191.99504	2.768074	0.213337	4.550363	5.071504
38	165.32525	-4.15302632	31.72337	159.91387	2.290645	0.1665244	3.531768	5.079191
39	173.39375	-0.42901667	38.08879	110.85501	2.017465	0.1412382	3.137476	5.000523
40	179.03725	2.73575	40.82871	109.24371	2.047162	0.1664801	3.387708	5.047433
